error_type,index,primary_mode,all_modes,n_modes,stars,word_count,prob,text
FP,7,negated_hazard,negated_hazard|illness_mentioned_not_caused_here,2,3.0,198,,I usually try and go organic whenever I can and this place isn't so bad. Wish they had more room and places to sit because sometimes it can get busy. Coffee wasn't so bad and food was decent. This is really the only place I haven't gotten sick from on the island since my husband and I were here for a conference. I feel that I'm paying a bit much though for oatmeal(4$... But delicious! They put rai
FP,10,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here|strong_negative_sentiment_only,2,1.0,89,,You sick sick sad little man who ran from us because you didn't know what a gramcracker is I dislike you you are almosty single handedly worse then carpinteria campground and my experience with rubbing alcohol. You have ruined the store with a giant selection of mayonnaise for me. After at least 15 people not knowing what gramcrackers were we had hoped that Albertsons would know what the honey goo
FP,15,negated_hazard,negated_hazard|illness_mentioned_not_caused_here|strong_negative_sentiment_only,3,1.0,47,,"Ordered food - the soup dumplings. 4 of them were fine (they tasted OK), but the other 4 were absolutely raw (took 1 bite, threw the rest away)....I hope I do not get sick from the dumplings. The other things were fine...but the raw dumplings were unacceptable."
FP,16,unexplained_fp,unexplained_fp,1,2.0,121,,"I like the ice cream at icesmile, the only thing that I thought sucked was the fact that they advertise giving you a free ice cream on your bday. Bring your ID they say. I was there buying more than one ice cream on the day before my bday. I asked if I could get my ice cream that day or next week bcuz I was having surgery on the DAY of my birthday and I would not be able to make it there, I'd be i"
FP,23,negated_hazard,negated_hazard|illness_mentioned_not_caused_here,2,2.0,350,,"This place was built onto the side the hotel I was staying in, so after driving all day I decided to have dinner with four other members of my party at Syberg's. Obviously the location was convenient. The ambiance is identical to just about any other sports bar and grill you've ever been to. Service was average. The food, however, is the real story here. I ordered the Philly chicken sandwich and w"
FP,24,neutral_allergen_mention,neutral_allergen_mention|negated_hazard|illness_mentioned_not_caused_here|unpleasant_not_unsafe,4,1.0,560,,I used to give this spot 5 stars. But after my last visit. I wish I could give it ZERO. This has been a regular weekend spot for me and my man after we found out they so kindly were serving Gluten Free pancakes. (It's not on the menu but something that is known). I spread the word to everyone gf that I knew and had been going about every other weekend for over 2 years now. We walked in about a mon
FP,29,negated_hazard,negated_hazard|illness_mentioned_not_caused_here|unpleasant_not_unsafe,3,1.0,191,,"Yikes! We stopped in for the lunch buffet because we were at the doing laundry next door and we were hungry. The restaurant was so dirty! The lettuce at salad bar looked old and brown, so I chose the spinach. But then I did not even want to get a fork for my salad because the utensil containers were filthy. The pizza itself looked ok and I did eat a couple of pieces simply because 1.) We had alrea"
FP,30,negated_hazard,negated_hazard|illness_mentioned_not_caused_here,2,3.0,76,,"I haven't been here in years, and a couple of weeks ago I decided to give it another try, since I had once praised it so highly. The salad was iceberg and nothing else. That creamy ginger dressing I once loved? Too heavy and too mayo like. The sushi was fine. It was edible and I didn't get sick. However, I'd rather eat at other places in the city. It's good on a budget, I suppose."
FP,34,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,1.0,164,,"Drove all the way across town to get a breakfast burrito for a sick friend, I called ahead to make sure you served breakfast until noon. I arrived at 11:56 and was told you stopped serving breakfast at noon. I stated that it wasn't noon yet. My phone, the clock on my car and the clock on the bank down the block were all the same. The staff just refused to help me. It's 12:09 and I'm leaving my rev"
FP,38,hypothetical_or_speculative,hypothetical_or_speculative|illness_mentioned_not_caused_here|strong_negative_sentiment_only,3,1.0,75,,"Maybe the pizza is good here... but I can really only speak on the soup and salad. It could be the case that I'm the idiot who decides to get italian wedding soup at a pizza joint, but it was rancid :( I tried to get through eating it, but I just couldn't do it. I was too worried I would be sick afterwards. The salad was pretty overwhelming, too. I just wouldn't go back."
