index,prob,stars,llm_hazard_type,llm_confidence,mode,secondary_modes,review_tokens_deberta,hazard_cue_token_pos,hazard_cue_char_frac,cue_beyond_256,review_truncated_at_256,word_count,quote,llm_rationale
24,0.0032324416097253,1.0,contamination,high,implicit_hazard,hazard_word_is_disgust_idiom,153,36,0.25,False,False,130,Grease was floating on top of my water,Physical contamination: a cloudy plastic cup with grease floating on top was served to the reviewer.
56,0.0007205310394056,2.0,food_poisoning,high,second_hand_report,hazard_in_final_sentence,108,95,0.897,False,False,89,my friend got a cake pop from here and threw up,Reviewer's friend threw up after eating a cake pop.
79,0.0208738297224044,2.0,contamination,high,label_questionable,hazard_in_final_sentence,451,360,0.786,True,True,387,"water on the floor the entire time we were there, that my partner slipped on",water on the floor caused a slip and fall incident
104,0.0011692328844219,1.0,food_poisoning,high,implicit_hazard,hazard_in_final_sentence,153,116,0.764,False,False,124,My stomach has been hurting me all night,"Reviewer experienced stomach pain after eating at the restaurant, and it's the only meal they had that day."
159,0.001006432226859,1.0,food_poisoning,high,second_hand_report,,49,19,0.376,False,False,36,my husband threw up before we left,Reviewer's husband threw up after eating there.
249,0.0410473123192787,1.0,contamination,high,contamination_novel_phrasing,,225,72,0.328,False,False,192,"a 12"" black hair baked into cheese topping","Physical contamination: a 12"" black hair found in the cheese topping."
263,0.0058779749087989,2.0,contamination,high,contamination_novel_phrasing,,204,54,0.262,False,False,181,the other was a rock from the pavement outside,"A rock was found in the meatballs, indicating physical contamination."
264,0.0007448472897522,1.0,contamination,high,explicit_hazard_missed,,48,39,0.777,False,False,33,Cockroaches crawling across the bar,Cockroaches crawling across the bar indicate physical contamination.
319,0.0007679525879211,2.0,food_poisoning,high,label_questionable,mild_or_hedged,141,71,0.507,False,False,122,I almost threw up after tasting it,Reviewer almost threw up after tasting the Ginza Roll.
386,0.0009836826939135,1.0,food_poisoning,high,implicit_hazard,,59,32,0.566,False,False,47,my friends and I were on the toilet for approximately 4 hours after we left,Reviewer and friends experienced prolonged gastrointestinal symptoms after eating at the restaurant.
394,0.0008845342672429,1.0,contamination,high,implicit_hazard,hazard_word_is_disgust_idiom,62,7,0.099,False,False,51,a little extra UNWANTED Protein that had 6 legs and antennas,Physical contamination: a foreign object (insect) found in food.
405,0.0006866895128041,1.0,food_poisoning,high,label_questionable,hazard_word_is_disgust_idiom,39,25,0.644,False,False,30,i took one lick of the soft serve adn wanted to vomit,"Reviewer describes an immediate, severe reaction to eating the soft serve ice cream."
414,0.0013974886387586,2.0,food_poisoning,high,mild_or_hedged,,104,58,0.55,False,False,89,I was having greasy burps and felt like i was gonna vomit,"Reviewer experienced greasy burps and felt like vomiting after eating greasy food, indicating possible food poisoning."
417,0.0023770742118358,1.0,contamination,high,contamination_novel_phrasing,hazard_word_is_disgust_idiom,79,7,0.086,False,False,61,there was hair in my taco,Physical contamination: a foreign object (hair) found in food.
422,0.0026344526559114,3.0,unsafe_handling,high,label_questionable,,277,130,0.478,False,True,222,We think the kitchen switched our meat,"The reviewer suspects the kitchen switched their meat orders, indicating a potential issue with food handling."
463,0.0883150100708007,1.0,food_poisoning,high,second_hand_report,hazard_in_final_sentence,138,120,0.855,False,False,98,Son vomited his chicken sandwich two hours later,"Reviewer's son vomited after eating the chicken sandwich, indicating food poisoning."
493,0.0032324416097253,1.0,contamination,high,implicit_hazard,hazard_word_is_disgust_idiom|exact_duplicate_of_24,153,36,0.25,False,False,130,Grease was floating on top of my water,Physical contamination: a cloudy plastic cup with grease floating on top was served to the reviewer.
496,0.0472202487289905,2.0,contamination,high,contamination_novel_phrasing,,125,33,0.262,False,False,96,a curly strand of hair was right on top,Physical contamination: a curly strand of hair found in food.
588,0.0551589988172054,1.0,food_poisoning,high,second_hand_report,,162,114,0.694,False,False,114,My date actually did vomit,Reviewer's date vomited after consuming the Sangria.
661,0.0008287126547656,2.0,food_poisoning,high,label_questionable,,71,20,0.294,False,False,58,the smell of fresh vomit greeted us,"The reviewer mentions a smell of fresh vomit, indicating a possible foodborne illness."
692,0.0006006706389598,1.0,food_poisoning,high,second_hand_report,,57,1,0.0,False,False,47,My gf threw up the pork chops,Reviewer's girlfriend got sick after eating pork chops.
751,0.0007496889447793,1.0,contamination,high,contamination_novel_phrasing,,78,43,0.517,False,False,57,with a LONG hair attached,Physical contamination: a hair found in food.
766,0.0012391991913318,1.0,food_poisoning,high,explicit_hazard_missed,,69,7,0.064,False,False,50,I threw up the whole night,Reviewer explicitly states they threw up after eating at the restaurant.
